date,symbol,open,high,low,close,volume,adj_close
2019-07-30,IWM,155.06,157.84,154.71,157.84,1200.0,152.36
2019-07-31,IWM,157.78,159.23,155.55,156.56,40445900.0,151.12
2019-08-01,IWM,156.88,158.17,153.59,154.29,38070200.0,148.93
2019-08-02,IWM,153.35,153.75,151.28,152.58,30148300.0,147.28
2019-08-05,IWM,149.78,149.92,146.21,148.0,39221500.0,142.86
2019-08-06,IWM,148.9,149.7,147.38,149.36,24283300.0,144.17
2019-08-07,IWM,147.92,149.71,146.69,149.32,23952100.0,144.13
2019-08-08,IWM,150.15,152.63,149.99,152.54,19415600.0,147.24
2019-08-09,IWM,152.09,152.15,150.03,150.62,19313200.0,145.39
2019-08-12,IWM,149.81,150.12,148.33,148.67,15963000.0,143.5
2019-08-13,IWM,148.34,151.79,147.67,150.27,21912600.0,145.05
2019-08-14,IWM,147.95,147.98,145.72,146.07,28235800.0,141.0
2019-08-15,IWM,146.62,146.67,144.79,145.49,24202400.0,140.44
2019-08-16,IWM,146.14,148.91,146.11,148.63,22783400.0,143.47
2019-08-19,IWM,150.32,150.89,149.95,150.13,17023400.0,144.91
2019-08-20,IWM,149.92,150.01,148.99,149.15,13324100.0,143.97
2019-08-21,IWM,150.62,150.65,149.79,150.38,13446100.0,145.16
2019-08-22,IWM,150.67,151.08,149.14,150.03,12979100.0,144.82
2019-08-23,IWM,149.22,150.11,144.93,145.43,36974600.0,140.38
2019-08-26,IWM,146.8,147.05,145.71,147.03,19167100.0,141.92
2019-08-27,IWM,147.96,148.02,144.68,144.85,24546200.0,139.82
2019-08-28,IWM,144.56,147.39,144.25,146.54,20115500.0,141.45
2019-08-29,IWM,148.15,149.29,147.96,149.11,18786300.0,143.93
2019-08-30,IWM,149.89,149.97,148.04,148.84,18727100.0,143.67
2019-09-03,IWM,147.45,148.32,146.0,146.66,20688000.0,141.56
2019-09-04,IWM,148.01,148.36,147.18,147.84,13107500.0,142.7
2019-09-05,IWM,149.85,151.91,149.37,150.59,25666700.0,145.36
2019-09-06,IWM,150.7,151.23,149.83,149.9,14645900.0,144.69
2019-09-09,IWM,150.57,152.24,150.06,151.91,25780100.0,146.63
2019-09-10,IWM,151.68,153.95,150.89,153.85,29576200.0,148.51
2019-09-11,IWM,154.52,157.16,153.56,157.0,42970500.0,151.55
2019-09-12,IWM,157.18,157.9,155.57,157.04,38648300.0,151.58
2019-09-13,IWM,157.85,158.92,157.13,157.31,31042800.0,151.84
2019-09-16,IWM,156.97,158.75,156.7,157.9,23242600.0,152.41
2019-09-17,IWM,157.36,157.57,156.45,157.49,22986700.0,152.02
2019-09-18,IWM,157.48,157.5,155.07,156.52,19735700.0,151.08
2019-09-19,IWM,156.8,157.82,155.53,155.76,21531600.0,150.35
2019-09-20,IWM,155.64,156.65,154.45,155.43,22707200.0,150.03
2019-09-23,IWM,154.86,155.95,154.56,155.31,14944600.0,149.91
2019-09-24,IWM,155.15,155.29,151.84,152.43,27576700.0,147.65
2019-09-25,IWM,152.28,154.36,151.8,154.1,21917500.0,149.27
2019-09-26,IWM,153.92,153.92,151.95,152.38,20641600.0,147.6
